review_id,building_id,building_name,building_type,ward,address_street,city,latitude,longitude,building_levels,rating,sentiment,review_title,review_text,review_source
REV-00001,relation/2254959,Bolgatty Palace Hotel & Resort,palace,,,Kochi,9.9842131,76.2672017,,3,neutral,Mixed impression,"Bolgatty Palace Hotel & Resort (palace) in Kochi. The mapped information suggests a functional property, but the overall experience is difficult to assess without detailed on-site reviews.",synthetic_from_geojson_attributes
REV-00002,relation/5400182,Jawaharlal Nehru Stadium,stadium,,,Kochi,9.9973664,76.3008628,,5,positive,Nice building and surroundings,"Jawaharlal Nehru Stadium (stadium) in Kochi. The building appears practical for its mapped use, with a generally positive overall impression.",synthetic_from_geojson_attributes
REV-00003,relation/5662928,Hanuman Temple,yes,,,Kochi,9.9687035,76.2829952,,5,positive,Nice building and surroundings,"Hanuman Temple (yes) in Kochi. Overall, this looks like a functional building with a reasonably positive impression from the available map information.",synthetic_from_geojson_attributes
REV-00004,relation/5662929,Unnamed building,temple,,,Kochi,9.9689933,76.2832823,,1,negative,Needs some improvement,"temple in Kochi. The available mapping information suggests that some aspects may need improvement, although an on-site inspection would be required to confirm this.",synthetic_from_geojson_attributes
REV-00005,relation/6111666,Unnamed building,yes,,,Kochi,9.9635461,76.2718587,,5,positive,Nice building and surroundings,"yes in Kochi. Overall, this looks like a functional building with a reasonably positive impression from the available map information.",synthetic_from_geojson_attributes
REV-00006,relation/6111883,Unnamed building,yes,,,Kochi,9.9567796,76.2696651,,3,neutral,Mixed impression,"yes in Kochi. The mapped information suggests a functional property, but the overall experience is difficult to assess without detailed on-site reviews.",synthetic_from_geojson_attributes
REV-00007,relation/7202464,Unnamed building,yes,,,Kochi,10.0328395,76.2933508,,1,negative,Needs some improvement,"yes in Kochi. The available mapping information suggests that some aspects may need improvement, although an on-site inspection would be required to confirm this.",synthetic_from_geojson_attributes
REV-00008,relation/7202465,"Campion School, Edappally",school,,,"Edapally South,Ernakulam",10.0244447,76.2947555,,1,negative,Needs some improvement,"Campion School, Edappally (school) in Edapally South,Ernakulam. The building appears usable, but there may be room for improvement in maintenance or facilities based on the limited available information.",synthetic_from_geojson_attributes
REV-00009,relation/7202474,Unnamed building,yes,,,Kochi,10.0340371,76.2916438,,1,negative,Needs some improvement,"yes in Kochi. The available mapping information suggests that some aspects may need improvement, although an on-site inspection would be required to confirm this.",synthetic_from_geojson_attributes
REV-00010,relation/11042997,Unnamed building,yes,,,Kochi,9.9864459,76.2850863,,4,positive,Useful and accessible,"yes in Kochi. The building appears practical for its mapped use, with a generally positive overall impression.",synthetic_from_geojson_attributes
REV-00011,relation/12877176,Unnamed building,house,,,Kochi,10.0020604,76.3116926,,5,positive,Nice building and surroundings,residential house in Kochi. The mapped building appears to be in a useful location and the overall setup looks satisfactory.,synthetic_from_geojson_attributes
REV-00012,relation/14570372,Unnamed building,yes,,,Kochi,9.9956435,76.3096969,,4,positive,Useful and accessible,yes in Kochi. The mapped building appears to be in a useful location and the overall setup looks satisfactory.,synthetic_from_geojson_attributes
REV-00013,relation/16139611,Vytilla Water Metro Station,transportation,,,Kochi,9.9672052,76.3222307,,4,positive,Useful and accessible,"Vytilla Water Metro Station (transportation) in Kochi. The building appears practical for its mapped use, with a generally positive overall impression.",synthetic_from_geojson_attributes
REV-00014,relation/16139612,Unnamed building,roof,,,Kochi,9.9669723,76.3225631,,2,negative,Could be maintained better,"roofed structure in Kochi. The building appears usable, but there may be room for improvement in maintenance or facilities based on the limited available information.",synthetic_from_geojson_attributes
REV-00015,relation/16139613,Unnamed building,roof,,,Kochi,9.9670179,76.3227407,,3,neutral,Mixed impression,"roofed structure in Kochi. The mapped information suggests a functional property, but the overall experience is difficult to assess without detailed on-site reviews.",synthetic_from_geojson_attributes
REV-00016,relation/18871077,Unnamed building,apartments,,,Kochi,9.9873991,76.3008836,,1,negative,Needs some improvement,"apartment building in Kochi. The mapped record is relatively limited, so a few improvements may be appropriate; an actual inspection would be needed for a reliable assessment.",synthetic_from_geojson_attributes
REV-00017,way/59097091,Unnamed building,train_station,,,Kochi,9.9603077,76.2675304,,2,negative,Could be maintained better,"railway station in Kochi. The mapped record is relatively limited, so a few improvements may be appropriate; an actual inspection would be needed for a reliable assessment.",synthetic_from_geojson_attributes
REV-00018,way/65743071,Unnamed building,yes,,,Kochi,9.995429,76.2903626,,4,positive,Useful and accessible,"yes in Kochi. The building appears practical for its mapped use, with a generally positive overall impression.",synthetic_from_geojson_attributes
REV-00019,way/65964006,Gokulam Convention Center,yes,,,Kochi,9.9947063,76.289996,,3,neutral,Mixed impression,Gokulam Convention Center (yes) in Kochi. Overall this appears to be a typical building for the area. More on-site information would be needed to judge maintenance and facilities.,synthetic_from_geojson_attributes
